dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.814481513467618,64,0.001,0.001,YCQJv,0.7857142857142857,5,0.3863026358498707,1
PROTEINS,0.4381394354726664,64,0.001,0.001,TMLw9,0.8303571428571429,5,0.07723607797155216,1
PROTEINS,0.46291824932868697,64,0.001,0.001,RqJ2Q,0.8035714285714286,5,0.38820181248401564,1
PROTEINS,0.27031548227500113,64,0.001,0.001,SbJ8k,0.8035714285714286,5,0.32021419939646056,1
PROTEINS,0.4670218510575622,64,0.001,0.001,QW915,0.8303571428571429,5,0.08035946109094427,1
PROTEINS,0.4629336374483959,64,0.001,0.001,UU5qP,0.7946428571428571,5,0.0806499519289422,3
PROTEINS,0.44271152032816613,64,0.001,0.001,Vx4aq,0.7946428571428571,5,0.34907226954491966,3
PROTEINS,0.43518289924234493,64,0.001,0.001,Nw29d,0.8303571428571429,5,0.08090687871647652,3
PROTEINS,0.4353927219202587,64,0.001,0.001,H5Kp3,0.8125,5,0.4677178193026273,1
PROTEINS,0.2727809580943515,64,0.001,0.001,o2635,0.7857142857142857,5,0.40353147148420565,1
PROTEINS,0.44610096238161595,64,0.001,0.001,L8YgG,0.8214285714285714,5,0.3273834473119889,1
PROTEINS,0.8079221436646955,64,0.001,0.001,ecO4O,0.8125,5,0.08389181560274095,4
PROTEINS,0.2558347879729917,64,0.001,0.001,t210G,0.8035714285714286,5,0.3332084579756951,1
PROTEINS,0.2625154454942743,64,0.001,0.001,DuGFQ,0.8125,5,0.07612612134929875,1
PROTEINS,0.43374708052016553,64,0.001,0.001,UDeMh,0.7946428571428571,5,0.08960401274127591,4
PROTEINS,0.2556410811058138,64,0.001,0.001,RkRW5,0.8214285714285714,5,0.07294579485955796,1
PROTEINS,0.4406646237665534,64,0.001,0.001,i3wpB,0.7767857142857143,5,0.19553079696900985,1
PROTEINS,0.8111022155875862,64,0.001,0.001,SOiRn,0.7946428571428571,5,0.0766607852619553,1
PROTEINS,0.8067209137954983,64,0.001,0.001,Sntka,0.7678571428571429,5,0.0759805482828995,1
PROTEINS,0.4437546112303147,64,0.001,0.001,G630t,0.8214285714285714,5,0.40005425492378666,1
PROTEINS,0.8079198240657515,64,0.001,0.001,C9j2i,0.7946428571428571,5,0.40462896332944076,3
